time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2011-03-12T23:58:47.770Z,37.68,142.774,35,4.5,mb,33,122.5,,1.17,us,usp000hwp7,2014-11-07T01:44:03.973Z,"off the east coast of Honshu, Japan",earthquake,,,,3,reviewed,us,us
2011-03-12T23:57:33.070Z,38.086,144.118,20.5,4.9,mb,137,63.8,,0.84,us,usp000hwp6,2014-11-07T01:44:03.962Z,"off the east coast of Honshu, Japan",earthquake,,3.6,,76,reviewed,us,us
2011-03-12T23:53:42.240Z,37.681,143.381,8.7,5,mb,164,67.6,,0.86,us,usp000hwp5,2014-11-07T01:44:03.947Z,"off the east coast of Honshu, Japan",earthquake,,13.4,,92,reviewed,us,us
2011-03-12T23:51:23.160Z,37.075,143.387,21,5,mb,206,65,,0.72,us,usp000hwp4,2014-11-07T01:44:03.930Z,"off the east coast of Honshu, Japan",earthquake,,8.2,,129,reviewed,us,us
2011-03-12T23:50:14.490Z,35.884,141.444,38.8,4.5,mb,51,114.5,,0.9,us,usp000hwp3,2014-11-07T01:44:03.926Z,"near the east coast of Honshu, Japan",earthquake,,8.5,,12,reviewed,us,us
2011-03-12T23:48:17.280Z,36.995,144.158,27.2,4,mb,26,136.2,,0.89,us,usp000hwp2,2014-11-07T01:44:03.923Z,"off the east coast of Honshu, Japan",earthquake,,21,,4,reviewed,us,us
2011-03-12T23:46:57.770Z,36.454,142.233,25.6,4.4,mb,40,127.5,,0.7,us,usp000hwp1,2014-11-07T01:44:03.920Z,"off the east coast of Honshu, Japan",earthquake,,17,,8,reviewed,us,us
2011-03-12T23:44:41.410Z,36.602,142.468,17.6,4.2,mb,20,120.1,,0.82,us,usp000hwp0,2014-11-07T01:44:03.918Z,"off the east coast of Honshu, Japan",earthquake,,27.7,,3,reviewed,us,us
2011-03-12T23:44:08.440Z,35.721,141.649,35,4.1,mb,16,126.6,,0.38,us,usp000hwnz,2014-11-07T01:44:03.917Z,"near the east coast of Honshu, Japan",earthquake,,,,5,reviewed,us,us
2011-03-12T23:43:58.030Z,36.257,141.22,39.5,4.2,mb,15,127.4,,0.82,us,usp000hwny,2014-11-07T01:44:03.915Z,"near the east coast of Honshu, Japan",earthquake,,20.4,,7,reviewed,us,us
2011-03-12T23:43:29.100Z,39.653,142.789,35,4.1,mb,13,197.1,,0.4,us,usp000hwnx,2014-11-07T01:44:03.913Z,"near the east coast of Honshu, Japan",earthquake,,,,3,reviewed,us,us
2011-03-12T23:40:48.800Z,36.624,141.661,29.7,5.2,mb,241,65.6,,0.75,us,usp000hwnw,2014-11-07T01:44:03.897Z,"near the east coast of Honshu, Japan",earthquake,,8.3,,164,reviewed,us,us
2011-03-12T23:37:22.950Z,36.732,142.296,22.2,5.1,mb,223,28.1,,0.68,us,usp000hwnv,2014-11-07T01:44:03.882Z,"off the east coast of Honshu, Japan",earthquake,,8.3,,154,reviewed,us,us
2011-03-12T23:35:45.540Z,36.263,141.937,35,4.1,mb,16,127.3,,0.63,us,usp000hwnu,2014-11-07T01:44:03.880Z,"near the east coast of Honshu, Japan",earthquake,,,,1,reviewed,us,us
2011-03-12T23:33:42.660Z,37.523,141.848,35,4.2,mb,12,128.9,,0.55,us,usp000hwnt,2014-11-07T01:44:03.879Z,"near the east coast of Honshu, Japan",earthquake,,,,2,reviewed,us,us
2011-03-12T23:31:44.360Z,37.04,142.404,58,4.1,mb,17,128.2,,0.83,us,usp000hwns,2014-11-07T01:44:03.877Z,"off the east coast of Honshu, Japan",earthquake,,12,,2,reviewed,us,us
2011-03-12T23:29:25.080Z,38.802,144.633,22,4.1,mb,18,144,,0.52,us,usp000hwnr,2014-11-07T01:44:03.875Z,"off the east coast of Honshu, Japan",earthquake,,19.1,,2,reviewed,us,us
